#MWE	PoS-sequence	annotated	not-annotated
canyon_road	NNP NNP	1	0
in_detail	IN NN	1	0
jiffy_lube	NNP NNP	1	0
down_the_road	IN DT NN	1	0
mani_pedi	NN NN	1	0
test_-_drive	NN HYPH VB	1	0
adelphi_hotel	NNP NNP	1	0
with_good_reason	IN JJ NN	1	0
get_by	VB RB	1	0
center_city_philly	NNP NNP NNP	1	0
desperate_for	JJ IN	1	0
spreading_the_word	DT VBG DT	1	0
live_through	VB IN	1	0
enough_said	JJ VBN	1	0
front_door	JJ NN	1	0
chain~restaurant	NN NN	1	0
kids_first_west_chester	NNPS RB NNP NNP	1	0
holderness_road	NNP NNP	1	0
wildwood_,_nj	NNP , NNP	1	0
kid_s_meals	NN POS NNS	1	0
to_talking	IN VBG	1	0
sorted_out	VBD RP	1	0
parking_spaces	NN NNS	1	0
behind_the_scenes	DT DT IN	1	0
buyer_beware	NN VB	1	0
wildernest_inn	NNP NNP	1	0
get_sucked_into	VB VBN IN	1	0
chicken_cordon_-_blu	NN NN HYPH NN	1	0
trying_to_say	TO VBG TO	1	0
for~nothing	IN NN	1	0
got_confused	VBD JJ	1	0
middle_aged	JJ JJ	1	0
worht_every_penny	JJ DT NN	1	0
michael_chestney	NNP NNP	1	0
nice~and~clean	JJ CC JJ	1	0
2_stars	CD NNS	1	0
ever_again	RB RB	1	0
richmond_city_limits	NNP NN NNS	1	0
bramen_honda	NNP NNP	1	0
is_up	VBZ RB	1	0
hop_hing	NNP NNP	1	0
inford_media	NNP NNP	1	0
home_-_excel	NNP HYPH NNP	1	0
on_the_cheap	IN DT JJ	1	0
wood_grain	NN NN	1	0
at_fault	IN NN	1	0
purple_goose	NNP NNP	1	0
south_florida	JJ NNP	1	0
adventure_tour	NN NN	1	0
in~and~around	IN CC RB	1	0
any_more	RB RBR	1	0
bright_star_tours_and_travels	NNP NNP NNPS CC NNPS	1	0
frank_mcclelland	NNP NNP	1	0
toyota_venza	NNP NNP	1	0
advanced_auto_parts	NNP NNP NNP	1	0
out_standing	GW JJ	1	0
my_self	GW PRP	1	0
over_telephone	IN NN	1	0
southern~californian	JJ NNP	1	0
christmas_trees	NNP NNS	1	0
a_touch	DT NN	1	0
you_'ve_got_maids	PRP VBP VBN NNPS	1	0
locally_owned	RB VBN	1	0
took_a_chance	VBD DT NN	1	0
contact_information	NN NN	1	0
sound_off	VBP RP	1	0
panic_attack	NN NN	1	0
corking_fee	NN NN	1	0
james_bond	NNP NNP	1	0
at_times	IN NNS	1	0
be_up	VB RB	1	0
hellada_gallery	NNP NNP	1	0
at_all_costs	IN DT NNS	1	0
meet_with	VB IN	1	0
qwest_dsl	NNP NNP	1	0
team_building	NN NN	1	0
quite~a_few	PDT DT JJ	1	0
chocolate_mousse	NN NN	1	0
prestige_hino	NNP NNP	1	0
back_office	JJ NN	1	0
nt~bother	RB VB	1	0
sit_down	VB RB	1	0
for_instance	IN NN	1	0
suck_at	VBP IN	1	0
get_away_with	VB RB IN	1	0
talked_about	VBN IN	1	0
kal_tire	NNP NNP	1	0
in~the~process~of	IN DT NN IN	1	0
falling~off	VBG RB	1	0
lots~more	NNS JJR	1	0
bc_/_bs	NNP HYPH NNP	1	0
better_business_bureau	JJR NN NN	1	0
the_best_part_of	DT DT JJS NN	1	0
flying_squirrels	NNP NNPS	1	0
an_arm_and_a_leg	CC DT NN CC DT	1	0
many_thanks	JJ NNS	1	0
took_a_bite	VBD DT NN	1	0
believe_in~yourself	VB IN PRP	1	0
subway_sandwiches	NNP NNPS	1	0
mrs._tolchin	NNP NNP	1	0
gone_through	VBN IN	1	0
legitimately_concerned	RB JJ	1	0
wife_and_kids	NN CC NNS	1	0
wonderful_wild_wildernest_inn	JJ JJ NNP NNP	1	0
weight_loss	NN NN	1	0
last_name	JJ NN	1	0
dumb_friends_league	NNP NNPS NNP	1	0
better~than~ever	JJR IN RB	1	0
nailed_it	VBD PRP	1	0
checked_in	VBD RP	1	0
refills_on	NNS IN	1	0
to_start_off_with	TO VB RP RB	1	0
sense_of_humour	NN IN NN	1	0
fend_for	VB IN	1	0
know_their_stuff	VBP PRP$ NN	1	0
family~owned	NN VBN	1	0
jack_-s	NNP POS	1	0
showroom_floor	NN NN	1	0
sub_par	AFX JJ	1	0
did~services	VBD NNS	1	0
pull_-_up	VB RB NN	1	0
make_the_drive	VB DT NN	1	0
member_card	NN NN	1	0
super_8	NNP NNP	1	0
the_rams	DT NNPS	1	0
spill_the_whisky	VB DT NNP	1	0
is_a_plus	VBZ DT NN	1	0
or_else	CC RB	1	0
san_mateo_avenue	NNP NNP NNP	1	0
the_holy_grail	DT JJ NN	1	0
big~deal	JJ NN	1	0
tortilla_soup	NN NN	1	0
walking~distance	NN NN	1	0
nw_hospital	NNP NN	1	0
dupont_circle	NNP NNP	1	0
week_-_ends	NN HYPH NNS	1	0
flagship_cvts	NNP NNP	1	0
ham_'s	NNP POS	1	0
comes~for~a~visit	IN VBZ IN DT	1	0
went_along	VBD RB	1	0
stuck_with	VBN IN	1	0
happen_to	VB TO	1	0
messed_up	VBN RP	1	0
give_it_shot	VB PRP NN	1	0
south_bend	NNP NNP	1	0
sacre_coeur	NNP NNP	1	0
cj~and_company	NNP CC NN	1	0
nitrogen_love_stout	NNP NNP NNP	1	0
professional_driving_school	NNP NNP NNP	1	0
american_cheese	NN JJ	1	0
at_which_point	IN WDT NN	1	0
hot~towel	JJ NN	1	0
with_flying_colors	IN VBG NNS	1	0
marek_dzida	NNP NNP	1	0
staten_island_computers	NNP NNP NNPS	1	0
fuel_economy	NN NN	1	0
men_s_and_boys_barbers	NNS POS CC NNS NNS	1	0
evergreen_parkway	NNP NNP	1	0
boothbay_harbor	NNP NNP	1	0
can~not~be~beat	MD RB VB VBN	1	0
in_particlular	IN JJ	1	0
oil~pressure	NN NN	1	0
working_on	VBG IN	1	0
on_a_whim	IN DT NN	1	0
time_of_year	NN IN NN	1	0
ashdown_horse_transport	NNP NNP NNP	1	0
dos_based	NNP VBN	1	0
noble_driving_school	NN NN NN	1	0
out_of_date	IN IN NN	1	0
give_a_crap~about	VBP DT NN IN	1	0
from~hell	IN NNP	1	0
hung_up	VBD RP	1	0
rocky_m._lange	NNP NNP NNP	1	0
computer_network	NN NN	1	0
mr._pozza	NNP NNP	1	0
most_of_all	RBS IN DT	1	0
in_spite_of	IN NN IN	1	0
bright_star_tours	NNP NNP NNPS	1	0
back_to_back	TO TO NN NN IN NN NN	1	0
high_dollar	JJ NN	1	0
searching_high_and_low	VBG RB CC RB	1	0
gulf_coast_siding	NNP NNP NNP	1	0
ready_for	JJ IN	1	0
like_a_human_being	IN DT JJ NN	1	0
start_to_finish	TO NN IN	1	0
pulled_out	VBD RB	1	0
red_curry	NN JJ	1	0
nail_polish	NN NN	1	0
student_tour_india_package	NNP NNP NNP NNP	1	0
dropped_the_issue	DT VBD DT	1	0
quality~of~care	NN IN NN	1	0
wenatchee_hills	NNP NNS	1	0
hands_-_down	NNS HYPH RB	1	0
shut_down	VBN RP	1	0
town_bagel	NNP NNP	1	0
ralph_'s_market	NNP POS NNP	1	0
caldwell_insurance	NNP NNP	1	0
stevens_creek	NNP NNP	1	0
turn_out	VB RP	1	0
thumbs_up	NNS RB	1	0
tried_out	VBN RP	1	0
hot_iron	NNP NNP	1	0
smoke_shop	NN NN	1	0
world_'s_finest_donair	NNP POS NNP NNP	1	0
at_the_last_minute	IN DT JJ NN	1	0
walk_up	VB IN	1	0
drving_up	VBG RB	1	0
make_it~back	VB PRP RB	1	0
shrimp_scampi	NN NN	1	0
belgian_tavern	JJ NN	1	0
kusal_goonewardena	NNP NNP	1	0
honka_log_homes	NNP NNP NNPS	1	0
pure_breed	JJ NN	1	0
business_cards	NN NNS	1	0
color_me_phat	VB PRP JJ	1	0
believe_me	VB PRP	1	0
dress_maker	NN NN	1	0
in~no~time	RP IN DT	1	0
bistro_tallulah	NNP NNP	1	0
peter_barrett	NNP NNP	1	0
cope_with	VB IN	1	0
stood_for	VBD IN	1	0
sr_-_22	NN HYPH CD	1	0
scordia~,~sicily	NNP , NNP	1	0
new_china	NNP NNP	1	0
fun_and_games	NN CC NNS	1	0
waiting_area	NN NN	1	0
common_courtesy	JJ NN	1	0
karol_bagh	NNP NNP	1	0
judge_of	NN IN	1	0
chicken_fingers	NN NNS	1	0
black_belt	JJ NN	1	0
back_aches	NN NNS	1	0
discuss~the~matter	VB DT NN	1	0
grow_up	VB RP	1	0
4_stars	CD NNS	1	0
dogwood_grilled_cheese	NN VBN NN	1	0
just~missed	RB RB	1	0
auto_glass~repair~shop	NN NN NN NN	1	0
first_glass_window	NNP NNP NNP	1	0
a_-_team	NN HYPH NN	1	0
bbq_chicken_pizza	NN NN NN	1	0
re_going_to	VBP VBG TO	1	0
talks_to	VBZ IN	1	0
gold_award	NN NN	1	0
rhino_700	NNP NNP	1	0
tintman_nationwide_tints_ltd	NNP NNP NNPS NNP	1	0
concerned_with	JJ IN	1	0
to_be_honest	TO VB JJ	1	0
2009_xf	CD NNP	1	0
taken_out	VBN RB	1	0
led_the_way	VBD DT NN	1	0
running_on	VBG IN	1	0
easy~to~work_with	JJ TO VB IN	1	0
a_least	RB RBS	1	0
gets_the_job_done	VBZ DT NN JJ	1	0
on_the_way	DT IN DT	1	0
medium_duty	NN NN	1	0
speaking_with	VBG IN	1	0
get_over~it	VB IN PRP	1	0
so_-_so	JJ JJ HYPH	1	0
kwik_kar	NNP NNP	1	0
caught_my_eye	VBD PRP$ NN	1	0
well~spent	RB VBN	1	0
clark_county_school_district	NNP NNP NNP NNP	1	0
sleep~through~the~night	VB IN DT NN	1	0
mr._guerra	NNP NNP	1	0
spare_ribs	NN NNS	1	0
chennai~,~india	NNP , NNP	1	0
looks_forward_to	VBZ RB IN	1	0
god_forbid	NNP VB	1	0
state_of_the_art	NN IN DT NN	1	0
no_joke	DT NN	1	0
gain_entry	VB NN	1	0
kobey_s	NNP POS	1	0
destiny_allison	NNP NNP	1	0
stuck_up	VBN RP	1	0
checking_for	VBG IN	1	0
dining~room~table	NN NN NN	1	0
vic_canever	NNP NNP	1	0
worked_for	VBD IN	1	0
can_not_wait	MD RB VB	1	0
but_then_again	CC RB RB	1	0
fell~head_over_heels	VBD NN IN NNS	1	0
sticker_price	NN NN	1	0
locust_street	NNP NNP	1	0
heaven~on~earthhhhhhh	NN IN NNP	1	0
to_my_surprise	IN PRP$ NN	1	0
years~running	NNS VBG	1	0
look_know_further	VB RB RBR	1	0
gem~of~a	NN IN DT	1	0
a_class_garage_doors	NNP NNP NNP NNPS	1	0
suck_it_up	PRP VB PRP	1	0
steven_starr	NNP NNP	1	0
go_for_it	IN IN VB	1	0
in_terms	IN NNS	1	0
bloody_mary~mix	JJ NN NN	1	0
chocolate_lava_cake	NN NN NN	1	0
bmw_z3	NNP NNP	1	0
national_home_furnishings	NNP NNP NNP	1	0
green_bay	NNP NNP	1	0
lo_and_behold	UH CC UH	1	0
troy~,~mo	NNP , NNP	1	0
amusement_parks	NN NNS	1	0
on_the_planet	DT IN DT	1	0
whole~new_lease_on_life	RB JJ NN IN NN	1	0
bar_and_grill	NN CC NN	1	0
spears_roofing	NNP NNP	1	0
dead~battery	JJ NN	1	0
a_must	DT NN	1	0
can_not_say_enough	MD RB VB JJ	1	0
assembly_line	NN NN	1	0
bloom_legal	NNP NNP	1	0
ms._sue	NNP NNP	1	0
youngstown_sports_grille	NNP NNP NNP	1	0
got_infections	VBD NNS	1	0
pizza_hut	NNP NNP	1	0
franklin_high_school	NNP NNP NNP	1	0
pool_covers	NN NNS	1	0
sort_out	VB RP	1	0
a_hoot	DT NN	1	0
followup~visit	NN NN	1	0
gone_downhill	VBN RB	1	0
are~not~to~be~missed	VBP RB TO VB VBN	1	0
blower_fan	NN NN	1	0
different_than	JJ IN	1	0
t_'s_cafe	NNP POS NNP	1	0
sad_face	JJ NN	1	0
calling_for	IN VBG	1	0
was_in_for_a_treat	VBD IN IN DT NN	1	0
stainless_steel	NNP NNP	1	0
sprecher_'s	NNP POS	1	0
corporate~clients	JJ NNS	1	0
key_performance_indicators	JJ NN NNS	1	0
wisdom_teeth	NN NN	1	0
fried_rice	VBN NN	1	0
club_sandwich	NN NN	1	0
military_road	NNP NNP	1	0
egg_drop_soup	NNP NNP NNP	1	0
stand~in_line	VB IN NN	1	0
petting_zoo	NN NN	1	0
a_short_time	DT DT JJ	1	0
oh_-_so	, RB HYPH	1	0
down_fall	GW NN	1	0
a_good_few	DT JJ JJ	1	0
landscape_by_hiro	NNP IN NNP	1	0
the_willow_lounge	DT NNP NNP	1	0
sister_in_law	NN IN NN	1	0
tow_truck	NN NN	1	0
on_the_market	DT IN DT	1	0
wisconsin_ave	NNP NNP	1	0
gotten_through	VBN IN	1	0
solar_system	JJ NN	1	0
a_handful	DT NN	1	0
robin_talley	NNP NNP	1	0
turns_out	VBZ RP	1	0
white_pages	JJ NNS	1	0
ice~cold~beer	JJ JJ NN	1	0
by~the~time	IN DT NN	1	0
front_staff	NN NN	1	0
for_get_that	GW VB DT	1	0
interviews~for	NNS IN	1	0
greenfield_ave	NNP NNP	1	0
in_the_world	DT IN DT	1	0
mfj_inc	NNP NNP	1	0
can~see~forever	MD VB RB	1	0
born~and~raised	VBN CC VBN	1	0
lightning_fast	NN JJ	1	0
taking_time_away	VBG NN RB	1	0
mr._villega	NNP NNP	1	0
get_busy	VB JJ	1	0
household~appliances	NN NNS	1	0
canal_walk	NNP NNP	1	0
logan_circle	NNP NNP	1	0
falls_under	VBZ IN	1	0
service_office	NN NN	1	0
4_-_year_colleges	CD HYPH NN NNS	1	0
cookie_cutter	NN NN	1	0
has_a_clue	VBZ DT NN	1	0
car~model	NN NN	1	0
pack_up~and~leave	CC VB RP CC	1	0
was_disappointed_with	VBD JJ IN	1	0
out_of_site	IN IN NN	1	0
fresh_design_studio	NNP NNP NNP	1	0
dr._christopher_t._strzalka	NNP NNP NNP NNP	1	0
over_power	GW VB	1	0
so_called	RB VBN	1	0
sky_pod~elevator	NN NN NN	1	0
world_traveler	NN NN	1	0
dr._de_barros	NNP NNP NNP	1	0
there~'s~no~excuse_for	EX VBZ DT NN IN	1	0
cinema_21	NNP CD	1	0
tanglewood_apartments	NNP NNPS	1	0
takes_time	VBZ NN	1	0
environmentally_friendly	RB JJ	1	0
american_pride_irrigation_&_landscaping	NNP NNP NNP CC NNP	1	0
bradley_chevron	NNP NNP	1	0
girls_night	NNS NN	1	0
opera_plaza	NNP NNP	1	0
keep_sake	NN NN	1	0
anytime~soon	NN RB	1	0
male_pattern_baldness	JJ NN NN	1	0
atlanta_paperback_book_printing	NNP NNP NNP NNP	1	0
spring_clips	NN NNS	1	0
i_ca_nt_speak_for	PRP MD RB VB IN	1	0
just_for_fun_fabrics	RB IN NNP NNPS	1	0
beg_to_differ	VBP TO VB	1	0
run_for_the_hills	VB IN DT NNS	1	0
pie_guy	NNP NNP	1	0
within~walking_distance	IN NN NN	1	0
green_curry	JJ NN	1	0
makes_sure	VBZ JJ	1	0
pleasure~to~work_with	NN TO VB IN	1	0
fort_smith	NNP NNP	1	0
elite_flyers	NNP NNPS	1	0
in_the_light	DT IN DT	1	0
world_'s_fair_museum	NNP POS NNP NN	1	0
to_begin_with	TO TO VB	1	0
can~not~wait	MD RB VB	1	0
work_week	NN NN	1	0
well_-_done	RB HYPH JJ	1	0
world_hats_mart	NNP NNPS NNP	1	0
waffle_maker	NN NN	1	0
sam_s_club	NNP POS NN	1	0
hauled_off	VBN RP	1	0
prime_rib	JJ NN	1	0
take_walk_ins	VB NN NNS	1	0
happy_new_year	JJ JJ NN	1	0
willow_lounge	NNP NNP	1	0
brand_new	RB JJ	1	0
oil_tank	NN NN	1	0
get_away	VB RB	1	0
dr._strzalka	NNP NNP	1	0
have~time	VB NN	1	0
short_of_that	RB IN DT	1	0
burch_'s_karate	NNP POS NNP	1	0
pumpkin_spice_latte	NN NN NN	1	0
radison_-_warwick	NNP NNP HYPH	1	0
for_the_sake_of	IN DT NN IN	1	0
shree_ghatkopar_bhatia_mitra_mandal	NNP NNP NNP NNP NNP	1	0
united_air_duct_cleaning	NNP NNP NNP NNP	1	0
kingston_upon_hull	NNP IN NNP	1	0
take_-_out	NN HYPH NN	1	0
william_and_mary	NNP CC NNP	1	0
answering~questions	VBG NNS	1	0
columbia_river	NNP NNP	1	0
for_the_most_part	DT IN DT JJS	1	0
egg_rolls	NN NNS	1	0
get_to_work	TO VB IN	1	0
neptune_platter	NNP NN	1	0
south~philly	NNP NNP	1	0
good_and_bad	JJ CC JJ	1	0
i_might_add	PRP PRP MD	1	0
sushi_lover	NNP NNP	1	0
seth_k	NNP NNP	1	0
invested_vanguard	VBD NNP	1	0
srd_pat_testing	NNP NNP NNP	1	0
eva_marie	NNP NNP	1	0
think_of	VB IN	1	0
bull_fighting	NN NN	1	0
from_start_to_finish	IN NN IN NN	1	0
blow_out	RB VBP	1	0
anna_marie	NNP NNP	1	0
be~put_off~by	VB VBN RP IN	1	0
throw_out	VB RP	1	0
nidd_design	NNP NNP	1	0
broke_down	VBD RP	1	0
bmw_330i	NNP NNP	1	0
look_for	VB IN	1	0
trying_on	VBG RP	1	0
galleries_lafayette	NNPS NNP	1	0
sq_ft	JJ NNS	1	0
magic_act	NN NN	1	0
passed_on	VBN RP	1	0
fabric_books	NN NNS	1	0
mrs_closs	NNP NNP	1	0
(_989_)_755-1109	-LRB- CD -RRB- CD	1	0
in_large_part_to	IN IN JJ NN	1	0
hard_times	JJ NNS	1	0
settled_for	VBD IN	1	0
get~to~know	VBP TO VB	1	0
ca_n't_wait	MD RB VB	1	0
know_better	VB RBR	1	0
