#MWE	annotated	not-annotated
life sentences	1	0
light comedy	1	0
light intensity	1	0
light music composer	1	0
light pulse	1	0
liqueur company	1	0
liquid mixture	1	0
liquid nutrient agar	1	0
liquid sample	1	0
liquor bottles	1	0
liquor manufacturers	1	0
liquor offences	1	0
liquor sales	1	0
literary movement	1	0
literary works	1	0
litmus test issues	1	0
live up	1	0
livestock pool	1	0
loading times	1	0
local head cooling	1	0
localization purposes	1	0
locking it	1	0
locks out	1	0
lone voice	1	0
long range precision rifles	1	0
long range work	1	0
looked for.	1	0
looking	1	0
looking to	1	0
looks after	1	0
looks back	1	0
looks upon	1	0
love-hate relationship	1	0
low man on the totem pole	1	0
low powered	1	0
low velocity intermediate round	1	0
low-pitch audio tones	1	0
machine attacks	1	0
macromolecular polymers	1	0
made 3 assists	1	0
made a critical introduction	1	0
made a rather idealist , legal defense	1	0
made a serious commitment	1	0
made a widely quoted , almost Betjeman-eque , assertion	1	0
made an error	1	0
made an example	1	0
made an excuse	1	0
made another attempt	1	0
made comments	1	0
made full use	1	0
made good	1	0
made her exit	1	0
made his debut	1	0
made his mark	1	0
made his trip	1	0
made longer journeys	1	0
made much of trade	1	0
made no provision	1	0
made numerous trips	1	0
made one appearance	1	0
made peace	1	0
made significant changes	1	0
made tentative movements	1	0
made the announcement	1	0
made various attempts	1	0
magazine articles	1	0
magazine headquarters	1	0
magazine pieces	1	0
magnesium trisilicate	1	0
Magnesium trisilicate	1	0
maiden speech	1	0
main character design	1	0
mainland city	1	0
mainstream success	1	0
maintained consistency	1	0
major player	1	0
majority stockholder	1	0
make a concert	1	0
make amends	1	0
make arrangements	1	0
make better use	1	0
make friends	1	0
make it to	1	0
make large contributions	1	0
make loans	1	0
make money	1	0
make sense	1	0
make ten	1	0
makes a quick decision	1	0
makes fun	1	0
makes her first appearance	1	0
makes his debut	1	0
makes his first appearance	1	0
makes one concession	1	0
makes reference	1	0
makes up	1	0
making " any hasty or ill-considered move	1	0
making a 300% profit	1	0
making a promise	1	0
making connections	1	0
making fun	1	0
making his own contributions	1	0
Making national headlines	1	0
making serial dilutions	1	0
malachite green	1	0
managing editor	1	0
manufacturing establishments	1	0
marine bathing waters	1	0
Marine officer	1	0
Marine Sergeant	1	0
market potential	1	0
marketing gimmick	1	0
master 's degree	1	0
Master Chief Petty Officer	1	0
Master Control	1	0
match-day capacity	1	0
material culture	1	0
material essentials	1	0
material evidences	1	0
material help	1	0
mathematical historian	1	0
matter manipulation powers	1	0
maximum security prison planet	1	0
meal time	1	0
measure up	1	0
mechanical accuracy	1	0
mechanical press	1	0
media critic	1	0
media descriptions	1	0
media reports	1	0
media scrutiny	1	0
medical conditions	1	0
medical professionals	1	0
medical treatment	1	0
medicinal historian	1	0
medium sized	1	0
meet all of the goals	1	0
meet expectations	1	0
meet large	1	0
meets local and international standards	1	0
meets up	1	0
melted down	1	0
member leader	1	0
member of the parliament	1	0
membership fee	1	0
membrane filters	1	0
membrane filtration	1	0
memorial stone	1	0
men 's soccer coach	1	0
meningitis case	1	0
meningitis cases	1	0
meningitis outbreak	1	0
mental institution	1	0
mental processing	1	0
mercantile business	1	0
merchant offices	1	0
merchant ship	1	0
met with less success	1	0
met with little	1	0
meted out	1	0
methamidophos contamination	1	0
mFC medium	1	0
microbiological analytical procedure	1	0
middle age	1	0
middle name	1	0
middle school students	1	0
migrant worker	1	0
military academy	1	0
military air traffic control	1	0
military aircraft	1	0
military commander	1	0
military exercise	1	0
military guerrilla groups	1	0
military intervention	1	0
military music	1	0
military pacification	1	0
military police	1	0
military school	1	0
military training base	1	0
milk powder	1	0
milk scandal	1	0
milk suppliers	1	0
mill owners	1	0
mill workers	1	0
millimetre grid	1	0
mineral leases	1	0
Minister of Foreign Affairs	1	0
Minister of Railways	1	0
minor league teams	1	0
mistake to make	1	0
mistakes he ever	1	0
mitochondrial dysfunction	1	0
mobile phase	1	0
mobile radios	1	0
model numbers	1	0
modern languages	1	0
modified racers	1	0
modus operandi	1	0
molecular biology	1	0
monarchy option	1	0
money bills	1	0
money prices	1	0
monkey styled	1	0
mood balloon	1	0
morning host	1	0
morning lessons	1	0
morning shift	1	0
morning-drive news program	1	0
mortal blow	1	0
mortality rates	1	0
motion picture	1	0
motion picture news	1	0
motion pictures	1	0
motion video sequence	1	0
motor vehicles	1	0
motorcycle exhaust	1	0
motorcycle gang	1	0
motorcycle race	1	0
mountain hamlet	1	0
mountain top sites	1	0
move ahead	1	0
moved around	1	0
moves down	1	0
movie studios	1	0
movie stunt pilot	1	0
moving away	1	0
moving out	1	0
moving the boat out.	1	0
moving up	1	0
multi-pass design	1	0
multiple tube method	1	0
mung beans	1	0
municipal organization	1	0
murder mystery	1	0
mushroom poisonings	1	0
music beds	1	0
music concerts	1	0
music critic	1	0
music criticism	1	0
music director	1	0
music feature	1	0
music playback	1	0
music pollution	1	0
music portion	1	0
music programming	1	0
music technology	1	0
musical artist	1	0
musical film	1	0
musical interludes	1	0
musical tradition	1	0
muzzle attachments	1	0
muzzle brakes	1	0
myasthenia gravis	1	0
mystery novelist	1	0
N-methyl-D-aspartate receptor	1	0
name brand	1	0
name change	1	0
narcotics officers	1	0
national accounting	1	0
National Chief	1	0
national government	1	0
national history	1	0
national holidays	1	0
National Secretary of Peasant Affairs	1	0
National Team	1	0
national team career	1	0
national team member	1	0
national unity	1	0
natural calamities	1	0
natural history work	1	0
natural laws	1	0
natural philosophy	1	0
natural resource issues	1	0
Naval force	1	0
Naval lieutenant	1	0
Naval O-1	1	0
Naval Recruiting office	1	0
Navy Corpsman	1	0
Navy lieutenant	1	0
Navy personnal	1	0
Navy students	1	0
Nd : glass disks	1	0
Nd : glass laser	1	0
neighbourhood stores	1	0
neonatal community	1	0
neonatal encephalopathy data	1	0
neonatal hypothermia	1	0
neonatal hypothermia interest group	1	0
neonatal hypothermia research group	1	0
Neonatal Medicine	1	0
neonatal neural rescue	1	0
neonatal therapeutic hypothermia	1	0
nervous system	1	0
network members	1	0
network programs	1	0
neural cell death	1	0
neurodevelopmental impairment	1	0
neuroprotection experimentalist	1	0
neuroprotection research	1	0
neutrophil infiltration	1	0
new age music	1	0
New Englander	1	0
new journalism magazine	1	0
New Year	1	0
Newborn hypoxic-ischaemic brain injury	1	0
newborn infants	1	0
news / talk format	1	0
news / talk station	1	0
news announcer	1	0
news media memorabilia	1	0
news-talk format	1	0
newspaper clippings	1	0
newspaper company	1	0
newspaper quotes	1	0
newspaper staff	1	0
nighttime program	1	0
nitric oxide synthase inhibition	1	0
nitrofuran metabolites	1	0
NMDA receptor toxicity	1	0
no confidence vote	1	0
noise gate	1	0
noise squelch	1	0
noise suppression	1	0
nomadic wandering	1	0
nomination process	1	0
non combat	1	0
non selective	1	0
non sequiturs	1	0
non-profit organization	1	0
nonfiction novel	1	0
nuclear attacks	1	0
nuclear explosion	1	0
nuclear fusion	1	0
nuclear proliferation	1	0
nuclear tests	1	0
nuclear war	1	0
nutrient agar	1	0
nutritional value	1	0
objective was	1	0
obtain research	1	0
obtained official permission	1	0
offer	1	0
offer a reasonable possibility	1	0
offer visual representations	1	0
offered a conservative interpretation	1	0
office candy machine	1	0
office work	1	0
official documents	1	0
official member	1	0
oil refineries	1	0
oldies music	1	0
oligodendroglial precursors	1	0
olive orchard	1	0
olive producer	1	0
on the wane	1	0
one sided	1	0
one-way street system	1	0
only son	1	0
opening sequence	1	0
opening up	1	0
opens fire	1	0
opera records	1	0
Operator certifications	1	0
opposition groups	1	0
Optical devices	1	0
optical devices	1	0
optical path length	1	0
order cut	1	0
ordinary looking	1	0
organic agriculture	1	0
organic food	1	0
organized crime	1	0
outdoor museum	1	0
outdoor roof	1	0
outdoor season	1	0
outdoor title	1	0
output energy	1	0
over-30 league	1	0
overnight voice	1	0
oxidative damage	1	0
oxygen deprivation	1	0
oxygen radicals	1	0
paid out	1	0
paid particular attention	1	0
Palm Beach lifestyle.	1	0
paperback sales	1	0
paradigm shift	1	0
park and ride car parks	1	0
parking facilities	1	0
parking lot	1	0
parking lots	1	0
Parliamentary candidate	1	0
parliamentary republic	1	0
parliamentary rule	1	0
parochial schools	1	0
particle accelerators	1	0
parting gift	1	0
party loyalists	1	0
party position	1	0
passes out	1	0
path taken	1	0
pathogen levels	1	0
patient recruitment	1	0
pay and display	1	0
peace movement	1	0
peak viewing time	1	0
peasant origins	1	0
peasant revolts	1	0
peasant trade union organization	1	0
pedestrian crossing	1	0
penal codes	1	0
penetration velocity	1	0
peon system	1	0
performing arts	1	0
perinatal research community	1	0
period recreations	1	0
peripatetic school	1	0
Permanent Secretary	1	0
personal bodyguard	1	0
personal information	1	0
personal items	1	0
personal life	1	0
personnel office	1	0
pesticide residue	1	0
Pesticide residue	1	0
pet food	1	0
pet food crisis	1	0
peyote button	1	0
pH change	1	0
phased out	1	0
philosophical history	1	0
philosophical school	1	0
phone call	1	0
photograph caption	1	0
photographic evidence	1	0
physical appearance	1	0
physical condition	1	0
physical training	1	0
pick it up	1	0
pick up	1	0
picked on	1	0
picks it up	1	0
picks the gun up	1	0
picks up	1	0
pickup truck	1	0
picture cover	1	0
picture cover editions	1	0
piglet model	1	0
pilot episode	1	0
pilot study	1	0
pinnacle teaching	1	0
pipe bomb	1	0
place name	1	0
plane ticket	1	0
plane trip	1	0
planetary force fields	1	0
planetary governor	1	0
plans for this monument were initially drawn	1	0
plasma physicist	1	0
plate count method	1	0
platelet activating factor	1	0
play a significant role	1	0
play baseball	1	0
played a role	1	0
played a supporting role	1	0
played football	1	0
played semi-professional baseball	1	0
played the role	1	0
playing cards	1	0
playing the guitar	1	0
playing the role	1	0
plays a greater role	1	0
plays noisy " war " games	1	0
plays practical	1	0
plot lines	1	0
point estimate	1	0
pointing out	1	0
pointing to	1	0
points out	1	0
poke fun	1	0
police departments	1	0
police detective	1	0
police force	1	0
Police Inspector	1	0
political activity	1	0
Political Advisor	1	0
political analysts	1	0
political arena	1	0
political conflict	1	0
political consulting firm	1	0
political doctrines	1	0
Political economy	1	0
political factions	1	0
political life	1	0
political parties	1	0
political satire	1	0
political science disciplines	1	0
political scientists	1	0
political societies	1	0
political sociology	1	0
political thought	1	0
political training programs	1	0
polls taken	1	0
polymorphonuclear cells	1	0
pop music references	1	0
pop recordings	1	0
pop standards / talk hybrid	1	0
popular culture	1	0
popular revolt	1	0
popular support	1	0
population inversion	1	0
pork blood pudding	1	0
pork dumplings	1	0
porn director	1	0
porn web video	1	0
pose held	1	0
posed serious threats	1	0
poses	1	0
poses a non yes / no question	1	0
positive charge	1	0
post-insult cooling	1	0
post-ischaemic neuroprotection	1	0
post-Judgement Day	1	0
power densities	1	0
power density	1	0
power range	1	0
practical accuracy	1	0
pre-election campaign	1	0
precision fire	1	0
Present day members	1	0
presented his credentials	1	0
presents a high degree of informality	1	0
Presidential Campaign	1	0
Presidential campaign trail	1	0
presidential campaigns	1	0
presidential election	1	0
Presidential Election campaign	1	0
presidential elections	1	0
presidential elections held	1	0
Presidential nomination	1	0
Presidential nomination process	1	0
presidential republic	1	0
press area	1	0
press junkets	1	0
press release	1	0
press secretary	1	0
price data	1	0
primary character	1	0
primary education	1	0
Prime Minister-designate	1	0
principal investigators	1	0
prison break	1	0
prison massacre	1	0
prison planet	1	0
prison system	1	0
privacy rights	1	0
private companies	1	0
private interests	1	0
private law practice	1	0
product safety	1	0
professional club	1	0
professional degree	1	0
professional league	1	0
program contests	1	0
Program director	1	0
program schedule	1	0
programmed cell death	1	0
progress was	1	0
prohibition laws	1	0
proof-of-concept design	1	0
proof-of-concept device	1	0
prosecution 's bench	1	0
prostate cancer	1	0
protests held	1	0
prototype space-folding ship	1	0
provincial capital	1	0
provincial government-at	1	0
provincial politics	1	0
proxy leader	1	0
psychiatric hospital	1	0
psychology office	1	0
public bribery	1	0
public debate	1	0
public health nurse	1	0
public life	1	0
public officials	1	0
public opinion surveys	1	0
public places	1	0
public service	1	0
public service work	1	0
public universities	1	0
public-safety uses	1	0
publication date	1	0
pull	1	0
pull pranks	1	0
pulled back	1	0
pulse duration	1	0
pulse length	1	0
purchasing agent	1	0
purchasing department	1	0
purpose made	1	0
pursue full time work	1	0
pursue legal	1	0
push buttons	1	0
put a stop	1	0
put forward	1	0
put in doubt	1	0
put into storage	1	0
put on isolation	1	0
put the entire world into stasis	1	0
puts their boat on shore	1	0
putting the station up	1	0
pwobation officer	1	0
qualification games	1	0
qualification match	1	0
qualifying goal	1	0
qualifying jump	1	0
qualifying match	1	0
quantum level	1	0
quantum nature	1	0
quarterback rating	1	0
quaternary ammonium	1	0
quaternary ammonium groups	1	0
race duel	1	0
racial identity	1	0
radical movement	1	0
radio adaptations	1	0
radio affiliate	1	0
radio DJs	1	0
radio headsets	1	0
radio names	1	0
radio program	1	0
radio show	1	0
radio show host	1	0
Radio station	1	0
radio stations	1	0
radio vendors	1	0
radio veteran	1	0
rail construction	1	0
railroad camp	1	0
railway companies	1	0
railway halt	1	0
railway station	1	0
railways question	1	0
rained	1	0
raise any difficult issues	1	0
raise funds	1	0
raise the issue	1	0
raised the issue	1	0
Raman scattering	1	0
ran	1	0
ran away	1	0
ran off	1	0
random chance	1	0
rare book section	1	0
raw material	1	0
Rayleigh-Taylor instabilities	1	0
reach some firm conclusions	1	0
real life process	1	0
real world assignment	1	0
reasseacrh study report	1	0
rebel forces	1	0
recall systems	1	0
received orders	1	0
received the most attention	1	0
receiver audio	1	0
recon mission	1	0
record library	1	0
record shelves	1	0
recreational gym	1	0
recreational waters	1	0
reference librarian	1	0
regular people	1	0
religion class	1	0
Religion classes	1	0
religious faith	1	0
religious matters	1	0
religious programs	1	0
religious scholar	1	0
Religious subject matter	1	0
rendevous point	1	0
renewal process	1	0
replacement shoes	1	0
replay value	1	0
represent interests	1	0
research group	1	0
research projects	1	0
research purposes	1	0
reserve chute	1	0
reservoir side	1	0
residential properties	1	0
residential zone	1	0
residents-only permit parking scheme	1	0
resistance broadcast	1	0
resistance cell	1	0
resistance leader	1	0
resistance movement	1	0
resistance regulars	1	0
resistance Soldier	1	0
resource questions	1	0
responsibilities held	1	0
retail district	1	0
retail store	1	0
reversed phase SPE	1	0
Reversed phase SPE	1	0
reversed phase SPE cartridge	1	0
review meeting	1	0
review title	1	0
rice wine	1	0
riding school	1	0
ripped out	1	0
rising stars	1	0
road jaunt	1	0
road racer	1	0
Rock and Roll	1	0
rock and roll	1	0
role model	1	0
Rolling Stone article	1	0
Rolling Stone publisher	1	0
rolls over	1	0
roman a clef	1	0
romantic comedy film	1	0
romantic nationalists	1	0
roofing enhancements	1	0
Rosolic acid	1	0
rotten boroughs	1	0
routine screening procedures	1	0
Roxanne Pulitzer divorce	1	0
royal family	1	0
royal house	1	0
royalty check	1	0
rub off	1	0
ruling monarch	1	0
running activities	1	0
running board	1	0
running into	1	0
runs	1	0
rural music	1	0
Russian tactics	1	0
safe passage	1	0
Safety barriers	1	0
safety valves	1	0
sale authority	1	0
sales department	1	0
salt shaker	1	0
sample population	1	0
sample tube	1	0
sample tubes	1	0
samurai class	1	0
samurai lineage	1	0
sanctioning body	1	0
satirical book	1	0
scag baron	1	0
scholarship offer	1	0
school " Mayor	1	0
school administrators	1	0
School Boards	1	0
school bus	1	0
school dean	1	0
school health nurse	1	0
school leadership	1	0
school use	1	0
science fiction	1	0
science fiction television series	1	0
science fiction-themed	1	0
science magazines	1	0
scientific committee	1	0
scientific disciplines	1	0
Scientific Dossier	1	0
Scientific Officer	1	0
scientific studies	1	0
scientific theory	1	0
scrambler fields	1	0
screwdriver adjustment	1	0
screwing	1	0
screwing up	1	0
screws	1	0
sea change	1	0
SEAL career	1	0
SEAL life	1	0
SEAL operator	1	0
SEAL presence	1	0
sealed away	1	0
sealed up.	1	0
search engine	1	0
season premiere	1	0
seating area.	1	0
second billing	1	0
second generation racer	1	0
second place finish	1	0
second thoughts	1	0
secondary cerebral energy failure	1	0
secondary schooling	1	0
secret route	1	0
secret society	1	0
secular State	1	0
seeking out	1	0
selective calling code	1	0
self developed	1	0
semi auto	1	0
Senate confirmation hearings	1	0
send it out	1	0
sending him off	1	0
senior officers	1	0
senior year	1	0
sense of responsibility	1	0
senses of humor	1	0
sensory organs	1	0
sent notes	1	0
sent off	1	0
sentient computer system	1	0
separation of Church and State	1	0
separation process	1	0
serfdom stock	1	0
Series creators	1	0
series creators	1	0
series finale.	1	0
served them up	1	0
service industries	1	0
set	1	0
set apart	1	0
set forth	1	0
set it apart	1	0
set off	1	0
set things in	1	0
set to	1	0
set to air	1	0
set Trudeau on fire	1	0
sets about	1	0
sets up	1	0
setting aside	1	0
setting him up	1	0
setting off	1	0
setting out	1	0
setting up	1	0
sex book	1	0
sex life	1	0
sex symbol	1	0
sexual assault	1	0
shade trees	1	0
shared a kiss	1	0
sheep fetus	1	0
sheep urine	1	0
sheet metal	1	0
shield fighting	1	0
shield generator	1	0
shield-laser interaction	1	0
shield-lasgun contact	1	0
ship 's clerk	1	0
shipping business	1	0
shipping out	1	0
shipping ventures	1	0
shock waves	1	0
shoot 'em up	1	0
short story	1	0
short-story writing	1	0
shot	1	0
show	1	0
showed no signs	1	0
showing her true face	1	0
showing off	1	0
shrugged off	1	0
shut	1	0
shut out	1	0
shuts down	1	0
shuts off	1	0
side effects	1	0
sietch communities	1	0
signal strength	1	0
signaling technique	1	0
signature monster	1	0
signed off	1	0
silent films	1	0
silent partner	1	0
silent partners	1	0
silica surface	1	0
Silt deposition	1	0
silver medal	1	0
single market	1	0
sister city	1	0
sister stations	1	0
slang word	1	0
slave states	1	0
Slave states	1	0
slave uprising	1	0
slide gates	1	0
slip roads	1	0
slow	1	0
slowdown issues	1	0
sluice bays	1	0
small farmer	1	0
small producers	1	0
small world network	1	0
small-railroad syndicates	1	0
SNake rING	1	0
sniper rifle	1	0
so called	1	0
soaking up	1	0
soccer events	1	0
social class system	1	0
social club	1	0
social credit	1	0
Social Democrats	1	0
social determinism	1	0
social development	1	0
social events	1	0
social evolution theory	1	0
social exclusion	1	0
social life	1	0
social networking sites	1	0
social news	1	0
social order	1	0
social outcast	1	0
social principle	1	0
social problems	1	0
social relations.	1	0
social worker	1	0
social works	1	0
Socialist Economy	1	0
socialist party	1	0
sodium formaldehyde sulfoxylate	1	0
sodium sulfite	1	0
software house	1	0
solid phase	1	0
Solid phase extraction	1	0
Solid phase extraction cartridges	1	0
Solid-phase extraction	1	0
soul match	1	0
sound effects	1	0
sound engineer	1	0
sound hardware selection screen	1	0
sound module	1	0
sound modules	1	0
sound suppression devices	1	0
Soy sauce	1	0
space commerce	1	0
space opera	1	0
space pirates	1	0
space travel	1	0
spacial filtering	1	0
sparked off	1	0
spatial filter	1	0
spatial filtering	1	0
spatial filters	1	0
SPE manifolds	1	0
SPE media	1	0
speakers ' stand	1	0
speaking engagements	1	0
special agent in charge	1	0
special forces men	1	0
special prosecutor	1	0
speech he gave	1	0
speeds off	1	0
speeds up	1	0
speedway team	1	0
spending problem	1	0
spherical pellet	1	0
spice melange	1	0
spirit forms	1	0
spirited away	1	0
spiritual deliverance	1	0
spiritual growth	1	0
spiritual improvement	1	0
spiritual pursuit	1	0
sporting events	1	0
sporting magazine	1	0
sports club	1	0
sports column	1	0
sports field	1	0
sports teams	1	0
spouted out	1	0
spray paint	1	0
spreading out	1	0
spreads out	1	0
sprint cars	1	0
sprite design	1	0
sprung up	1	0
spy capers	1	0
squelch control	1	0
squelch noise	1	0
squelch signal	1	0
squelch threshold	1	0
squelched	1	0
staff announcers	1	0
staff composer	1	0
staff writer	1	0
stand for	1	0
stand out	1	0
standing	1	0
star port	1	0
starting point	1	0
startup loans	1	0
state auditors	1	0
state championship game	1	0
state dinner	1	0
state religion	1	0
State Representatives	1	0
State Senator	1	0
state trooper	1	0
state visit	1	0
statement of intent	1	0
stateside papers	1	0
station ID	1	0
station licenses	1	0
station manager	1	0
station owners	1	0
station premises	1	0
station tour	1	0
statistical level of confidence	1	0
statistical techniques	1	0
status quo	1	0
staying power	1	0
steam pumping engines	1	0
step	1	0
step to take	1	0
stereo broadcast	1	0
still life photos	1	0
stirred up	1	0
stock and bonds exchange	1	0
stock car champion	1	0
Stock Car championships	1	0
stock car drivers	1	0
stock car racing circuit	1	0
stock car racing national champion	1	0
stock car regulars	1	0
stock car season	1	0
stock cars	1	0
stock cars races	1	0
stock exchange	1	0
stock market debacle	1	0
stone masonry	1	0
stood aside	1	0
stop sign	1	0
storage area	1	0
strained relationship	1	0
street marches	1	0
street vending	1	0
stretched out	1	0
strike up	1	0
strikes up	1	0
strip club	1	0
strip off	1	0
striptease club	1	0
student administrator	1	0
student leader	1	0
student research	1	0
student run	1	0
stunt pilot	1	0
subatomic fusion	1	0
subscription holders	1	0
succession problem	1	0
suffered malnutrition	1	0
sufi saint	1	0
sugar plantation	1	0
suicide note	1	0
sulfonic acid	1	0
summary justice	1	0
summed up	1	0
summer camp	1	0
summer camps	1	0
Summer seminar	1	0
supermarket chain	1	0
supernatural power	1	0
suppressive fire	1	0
suppressor signalling pathways	1	0
surface area	1	0
surfing looks	1	0
surplus labour	1	0
surplus value	1	0
suspensor belts	1	0
sweet natured	1	0
sweet talking	1	0
swimming pool	1	0
swing tunes	1	0
switched on	1	0
sword hunt	1	0
sworn enemy	1	0
symphony concerts	1	0
syncs up	1	0
system performance	1	0
tactical jacket	1	0
tag lines	1	0
take a job	1	0
take a turn	1	0
take a year out	1	0
take advantage	1	0
take advantage of	1	0
take control	1	0
take his food	1	0
take his place	1	0
take hold	1	0
take jobs	1	0
take on	1	0
take the mind of the public off	1	0
take the role	1	0
take the vow	1	0
taken	1	0
taken away	1	0
taken conrol	1	0
taken over	1	0
taken up	1	0
takes a job	1	0
takes care	1	0
takes off	1	0
takes out	1	0
takes over	1	0
takes place	1	0
takes the form	1	0
taking a strict approach	1	0
Taking advantage	1	0
taking charge	1	0
taking classes	1	0
taking control	1	0
taking down	1	0
taking his armbands off	1	0
taking into account	1	0
taking on	1	0
taking part	1	0
taking root	1	0
taking the overall capacity down	1	0
taking the U.S. dollar off	1	0
taking to	1	0
taking up	1	0
talent holding contract	1	0
talk hosts	1	0
talk show	1	0
talks him out	1	0
tape delay	1	0
Tapioca pearls	1	0
tapioca pearls	1	0
target areas	1	0
target bacterium	1	0
target organism	1	0
target physics	1	0
target plasma	1	0
tea room	1	0
teachers movement	1	0
teaching assistantship position	1	0
team cadre	1	0
team leader	1	0
team member	1	0
team player	1	0
team routines	1	0
tear gas canister	1	0
tearing down	1	0
tearing up	1	0
technical formation	1	0
technical institutes	1	0
techno feel	1	0
teenage parties	1	0
teenage years	1	0
television advertising	1	0
Television cameras	1	0
television contract	1	0
television critic	1	0
Television critics	1	0
television drama series	1	0
television journalist	1	0
television profile	1	0
television season	1	0
television squelch settings	1	0
television station	1	0
temperate zone	1	0
temperature instability	1	0
temple life	1	0
terminal ballistics	1	0
territorial integrity	1	0
tertiary sector	1	0
test mission	1	0
test reports	1	0
textile workers	1	0
theme music	1	0
Therapeutic hypothermia	1	0
therapeutic intervention	1	0
thread pattern	1	0
threads of fate	1	0
three sources " model	1	0
threshold signal	1	0
thyroid function	1	0
time displacement field	1	0
time flow	1	0
time meter	1	0
time period	1	0
title character	1	0
title hopes	1	0
title role	1	0
tobacco processing plant	1	0
tone burst	1	0
tone set	1	0
Tone squelch	1	0
took	1	0
took a giant leap	1	0
took a job	1	0
took a leading part	1	0
took a long time	1	0
took a shower	1	0
took a tour	1	0
took certain	1	0
took office	1	0
took on	1	0
took over	1	0
took place	1	0
took profuse notes	1	0
took the form	1	0
took the lead	1	0
took the witness stand	1	0
Top 10 finishes	1	0
top 100	1	0
top 20	1	0
Top 20 destinations	1	0
Top 40 station	1	0
Top 5	1	0
Top 5 finishes	1	0
top division	1	0
top generals	1	0
top man	1	0
top people	1	0
total plate count	1	0
total plate counts	1	0
touch- and- go approach	1	0
tourist attractions	1	0
Town Councils	1	0
town pressure	1	0
toxic mushrooms.	1	0
track record	1	0
track titles	1	0
trademark sound	1	0
trading voyage	1	0
traffic updates	1	0
train journeys	1	0
training camp	1	0
training course	1	0
training ground	1	0
training program	1	0
trans-continental railroad	1	0
transition period	1	0
transition team	1	0
transportation equipment	1	0
trash can	1	0
treasury branches	1	0
treasury coffers	1	0
Treasury Secretary	1	0
trials specialist	1	0
tribute ceremony	1	0
tribute series	1	0
true believers	1	0
try out	1	0
tune in	1	0
turn of the century	1	0
turn out	1	0
turned by RKO into	1	0
turned down	1	0
turned into	1	0
turned on	1	0
turned the track back	1	0
turned them around	1	0
turning back	1	0
turning into	1	0
turning on	1	0
turning over	1	0
turning the idealistic dialectic into	1	0
turning them into	1	0
turns the receiver audio	1	0
tutelary institution	1	0
TV series	1	0
TV side	1	0
TV soap operas	1	0
TV station	1	0
TV version	1	0
twilight sleep	1	0
twin swords	1	0
twist of fate	1	0
Two Beam system	1	0
two-way radio	1	0
two-way radios	1	0
TYEA medium	1	0
typhoid malaria	1	0
U.S. Minister to Hawaiian Islands	1	0
U.S. Representative	1	0
U.S. soccer forward	1	0
ultra bomb	1	0
ultraviolet light	1	0
underground paper	1	0
undertook an investigation	1	0
undertook many important prospective studies	1	0
unit of measurement	1	0
university education	1	0
University education	1	0
university philosophy	1	0
University Professor	1	0
university round table	1	0
unknown-period interpretation	1	0
upper class twits	1	0
upper-class families	1	0
urban areas	1	0
urban environments	1	0
USAC regular	1	0
USAC season	1	0
USAC Stock car national titles	1	0
USAC Stock car title	1	0
USAC Stock car win	1	0
USAC Stock car wins	1	0
UV pulse	1	0
vacuum chamber	1	0
vacuum filtered	1	0
vacuum port	1	0
value added	1	0
value relations	1	0
vantage point	1	0
vasogenic oedema	1	0
vegetable samples	1	0
vernacular language	1	0
VHF licencee	1	0
VHF stations	1	0
Vicar General	1	0
video ) output	1	0
video chronicle	1	0
video footage	1	0
video project	1	0
Vietnam vet	1	0
Vietnam War veterans	1	0
vigilante gun	1	0
village inhabitants	1	0
violin virtuoso	1	0
virgin forest	1	0
visiting professorships	1	0
visual feature-length version	1	0
visually impaired	1	0
voice acted	1	0
voice actor	1	0
voice components	1	0
voice signal	1	0
voice teacher	1	0
volatile organophosphate insecticide	1	0
volunteer regiment	1	0
wagon bed	1	0
walkie talkie	1	0
walks away	1	0
walks of life	1	0
walks off	1	0
war campaign	1	0
war materiel	1	0
war memorial	1	0
warm up	1	0
washed out	1	0
Watch	1	0
watching over	1	0
water analysis	1	0
water harvesting dam	1	0
water resources	1	0
water storage reservoir	1	0
water supplies	1	0
water tank	1	0
water tunnels	1	0
weathered the storm	1	0
wedding license	1	0
weekday lineup	1	0
weight problem	1	0
well made	1	0
well oiled	1	0
well recorded	1	0
well remembered	1	0
well-thought out	1	0
went off	1	0
went on some dates	1	0
western region headquarters	1	0
wharf area	1	0
wheat acreage	1	0
Wheat Gluten	1	0
wheat gluten	1	0
wheat protein	1	0
wheelchair users	1	0
whippet races	1	0
white flight	1	0
white man	1	0
white noise	1	0
white power structures	1	0
white tiger	1	0
wholesale garment district	1	0
wide receiver position	1	0
widely known	1	0
widely respected	1	0
widely travelled	1	0
wing walker	1	0
women 's clothing	1	0
women 's national soccer team	1	0
won a reputation	1	0
won acquittal	1	0
won reelection	1	0
work ethic	1	0
working class	1	0
working day	1	0
working relationships	1	0
world centres	1	0
world cuisines	1	0
world cup qualifying matches	1	0
world traveler	1	0
worlds of man	1	0
wrestling area	1	0
wrestling rings	1	0
writing den	1	0
writing system	1	0
writing systems	1	0
written down	1	0
wrote down	1	0
x-ray conversion	1	0
Xenon flash lamps	1	0
yeast extract	1	0
Yeomanry Cavalry	1	0
yeomanry regiment	1	0
yeomanry regiments	1	0
yew hedges	1	0
youth groups	1	0
youth teams	1	0
zipped up	1	0
time traveling	1	1
bear arms	1	1
well documented	1	1
stood for	1	1
