PoS-word	#labels	#instances	most common label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#
VB-defend	1	1	social	1																				
VBN-instructed	1	1	social	1																				
NN-pat	1	1	social	1																				
VBN-survived	1	1	social	1																				
VBN-utilized	1	1	social	1																				
VBP-run	1	1	social	1																				
VBG-cheerleading	1	1	social	1																				
VBD-taught	1	1	social	1																				
VB-annoy	1	1	social	1																				
VBD-mattered	1	1	social	1																				
VBG-shooting	1	1	social	1																				
VB-back	1	1	social	1																				
VBN-awarded	1	1	social	1																				
VBZ-sticks	1	1	social	1																				
VBG-respecting	1	1	social	1																				
VBN-managed	1	1	social	1																				
VBD-joined	1	1	social	1																				
VBN-accommodated	1	1	social	1																				
VBG-operating	1	1	social	1																				
VBG-managing	1	1	social	1																				
VBG-serving	1	1	social	1																				
VBN-re-trained	1	1	social	1																				
VBG-struggling	1	1	social	1																				
VBN-messed	1	1	social	1																				
VBG-playin	1	1	social	1																				
VBG-handling	1	1	social	1																				
VB-match	1	1	social	1																				
VBG-filling	1	1	social	1																				
VBZ-pretends	1	1	social	1																				
VBD-performed	1	1	social	1																				
VBN-bothered	1	1	social	1																				
VBG-pressuring	1	1	social	1																				
VB-squirm	1	1	social	1																				
VBD-enrolled	1	1	social	1																				
VBD-stepped	1	1	social	1																				
VBN-enrolled	1	1	social	1																				
VB-test	1	1	social	1																				
VBN-donated	1	1	social	1																				
VB-settle	1	1	social	1																				
VBZ-receives	1	1	social	1																				
VB-rip	1	1	social	1																				
VBZ-plans	1	1	social	1																				
VBN-pulled	1	1	social	1																				
VBG-tolerating	1	1	social	1																				
VB-re-schedule	1	1	social	1																				
VBD-guided	1	1	social	1																				
VB-hang	1	1	social	1																				
VBD-renigged	1	1	social	1																				
VBZ-operates	1	1	social	1																				
VBG-firing	1	1	social	1																				
VB-host	1	1	social	1																				
VBG-wasting	1	1	social	1																				
VBD-availed	1	1	social	1																				
VB-pretend	1	1	social	1																				
VB-gain	1	1	social	1																				
VBP-visit	1	1	social	1																				
VBD-shopped	1	1	social	1																				
VBP-manage	1	1	social	1																				
VBD-contracted	1	1	social	1																				
VBD-trained	1	1	social	1																				
VBG-hireing	1	1	social	1																				
VBG-fighting	1	1	social	1																				
VBN-raped	1	1	social	1																				
VBN-checked	1	1	social	1																				
VBG-facilitating	1	1	social	1																				
VBD-acted	1	1	social	1																				
VBG-hitting	1	1	social	1																				
VB-approach	1	1	social	1																				
NNS-squares	1	1	shape	1																				
NN-glob	1	1	shape	1																				
NN-rectangle	1	1	shape	1																				
NN-pyramid	1	1	shape	1																				
NN-square	1	1	shape	1																				
NN-resemblance	1	1	relation	1																				
NN-bronze	1	1	relation	1																				
NN-tenth	1	1	relation	1																				
NN-bac	1	1	relation	1																				
NN-west	1	1	relation	1																				
NN-remainder	1	1	relation	1																				
NN-gas	1	1	relation	1																				
NN-gold	1	1	relation	1																				
NN-plate	1	1	quantity	1																				
NN-ton	1	1	quantity	1																				
NN-dozen	1	1	quantity	1																				
JJ-sq	1	1	quantity	1																				
NN-batch	1	1	quantity	1																				
NNS-feet	1	1	quantity	1																				
NN-roomful	1	1	quantity	1																				
NNP-99	1	1	quantity	1																				
DT-an	1	1	quantity	1																				
NNS-tons	1	1	quantity	1																				
NN-kb	1	1	quantity	1																				
NN-proportion	1	1	quantity	1																				
NN-worth	1	1	quantity	1																				
NN-ammount	1	1	quantity	1																				
NNS-hundreds	1	1	quantity	1																				
NN-distance	1	1	quantity	1																				
NN-pint	1	1	quantity	1																				
NN-ounce	1	1	quantity	1																				
NN-decline	1	1	process	1																				
NN-assembly	1	1	process	1																				
NN-pregnancy	1	1	process	1																				
NN-turnover	1	1	process	1																				
NNS-cycles	1	1	process	1																				
NN-triage	1	1	process	1																				
NNS-stages	1	1	process	1																				
NN-progress	1	1	process	1																				
NN-handcraft	1	1	process	1																				
NN-amendment	1	1	process	1																				
VBN-acquired	1	1	possession	1																				
VBD-owned	1	1	possession	1																				
VB-honor	1	1	possession	1																				
VBN-charge	1	1	possession	1																				
NNS-estimates	1	1	possession	1																				
VBN-bilked	1	1	possession	1																				
NN-transaction	1	1	possession	1																				
VB-bait	1	1	possession	1																				
NN-cc	1	1	possession	1																				
NN-invoice	1	1	possession	1																				
VB-refund	1	1	possession	1																				
NN-investment	1	1	possession	1																				
VBD-payed	1	1	possession	1																				
VBN-stolen	1	1	possession	1																				
NN-buying	1	1	possession	1																				
NN-financing	1	1	possession	1																				
VBD-cost	1	1	possession	1																				
VBG-renting	1	1	possession	1																				
VB-charger	1	1	possession	1																				
NNS-charges	1	1	possession	1																				
VBZ-runs	1	1	possession	1																				
VB-adopt	1	1	possession	1																				
NN-account	1	1	possession	1																				
VB-resell	1	1	possession	1																				
NNS-returns	1	1	possession	1																				
VBN-reimbursed	1	1	possession	1																				
VBD-revived	1	1	possession	1																				
VB-shell	1	1	possession	1																				
VBZ-haves	1	1	possession	1																				
VBN-robbed	1	1	possession	1																				
VB-steal	1	1	possession	1																				
NN-$	1	1	possession	1																				
VBN-took	1	1	possession	1																				
VBD-invested	1	1	possession	1																				
NN-coupon	1	1	possession	1																				
VBG-selling	1	1	possession	1																				
VBD-rented	1	1	possession	1																				
VBD-accepted	1	1	possession	1																				
VB-quote	1	1	possession	1																				
NN-offer	1	1	possession	1																				
NNS-checks	1	1	possession	1																				
VBN-bought	1	1	possession	1																				
VBD-sold	1	1	possession	1																				
NN-guarentee	1	1	possession	1																				
NNS-premiums	1	1	possession	1																				
VBP-sell	1	1	possession	1																				
VBD-stole	1	1	possession	1																				
NN-corking	1	1	possession	1																				
NNS-tolls	1	1	possession	1																				
VBG-cutting	1	1	possession	1																				
NN-rent	1	1	possession	1																				
NN-liability	1	1	possession	1																				
VB-mark	1	1	possession	1																				
VB-squeeze	1	1	possession	1																				
VBN-overcharged	1	1	possession	1																				
VBN-picked	1	1	possession	1																				
VBG-stealing	1	1	possession	1																				
VB-purchace	1	1	possession	1																				
VBN-funded	1	1	possession	1																				
VBG-booking	1	1	possession	1																				
NN-debit	1	1	possession	1																				
VBD-belonged	1	1	possession	1																				
NN-pocket	1	1	possession	1																				
NN-penny	1	1	possession	1																				
NN-guarantee	1	1	possession	1																				
VBP-rent	1	1	possession	1																				
VB-reap	1	1	possession	1																				
NN-profit	1	1	possession	1																				
VB-overcharge	1	1	possession	1																				
VBG-quoting	1	1	possession	1																				
VB-compensate	1	1	possession	1																				
VBN-discounted	1	1	possession	1																				
NN-overage	1	1	possession	1																				
NNS-transactions	1	1	possession	1																				
VB-cost	1	1	possession	1																				
NNS-payments	1	1	possession	1																				
NN-saving	1	1	possession	1																				
VB-own	1	1	possession	1																				
NNS-funds	1	1	possession	1																				
VBP-spend	1	1	possession	1																				
NNS-monies	1	1	possession	1																				
NNS-quotes	1	1	possession	1																				
VBG-owning	1	1	possession	1																				
NN-bonus	1	1	possession	1																				
VB-ltake	1	1	possession	1																				
NNP-christmas	1	1	plant	1																				
NNS-herbs	1	1	plant	1																				
NN-cavity	1	1	phenomenon	1																				
NN-leak	1	1	phenomenon	1																				
NNP-cathy	1	1	person	1																				
NN-b****	1	1	person	1																				
NNS-tenants	1	1	person	1																				
NN-mother	1	1	person	1																				
NN-elder	1	1	person	1																				
NN-grandmother	1	1	person	1																				
NN-boy	1	1	person	1																				
NN-communicator	1	1	person	1																				
NNP-barbara	1	1	person	1																				
NN-pastor	1	1	person	1																				
NNP-amir	1	1	person	1																				
NNS-dj's	1	1	person	1																				
NN-professional	1	1	person	1																				
NNP-kusal	1	1	person	1																				
NNP-scott	1	1	person	1																				
NNP-shannon	1	1	person	1																				
NNS-tourists	1	1	person	1																				
NNP-edwin	1	1	person	1																				
NNP-cj	1	1	person	1																				
NNP-mimmy	1	1	person	1																				
NNP-robin	1	1	person	1																				
NNP-tom	1	1	person	1																				
NNP-edit	1	1	person	1																				
NN-broker	1	1	person	1																				
NN-aunt	1	1	person	1																				
NNP-kyle	1	1	person	1																				
NN-nurse	1	1	person	1																				
NNP-jerry	1	1	person	1																				
NNP-helen	1	1	person	1																				
NN-specialist	1	1	person	1																				
NN-counselor	1	1	person	1																				
NNP-bt	1	1	person	1																				
NN-baker	1	1	person	1																				
NN-victim	1	1	person	1																				
NNP-mercedes	1	1	person	1																				
NNS-holders	1	1	person	1																				
NNP-peterson	1	1	person	1																				
NN-principal	1	1	person	1																				
NNP-lynda	1	1	person	1																				
NN-accountant	1	1	person	1																				
NNS-bartenders	1	1	person	1																				
NN-guest	1	1	person	1																				
NNP-levi	1	1	person	1																				
NN-celebrity	1	1	person	1																				
NNP-mary	1	1	person	1																				
NNP-eva	1	1	person	1																				
NNP-dustin	1	1	person	1																				
NNS-miscreants	1	1	person	1																				
NNP-neanderthal	1	1	person	1																				
NNS-seekers	1	1	person	1																				
NN-grandfather	1	1	person	1																				
NNP-nate	1	1	person	1																				
NN-colleague	1	1	person	1																				
NNP-jill	1	1	person	1																				
NN-advisor	1	1	person	1																				
NNP-cecile	1	1	person	1																				
NNP-stewart	1	1	person	1																				
NN-tailor	1	1	person	1																				
NNP-paula	1	1	person	1																				
NNS-non-smokers	1	1	person	1																				
NNP-cesar	1	1	person	1																				
NNS-golfers	1	1	person	1																				
NN-police	1	1	person	1																				
NN-agent	1	1	person	1																				
NNP-r.	1	1	person	1																				
NNP-sandy	1	1	person	1																				
NN-doc	1	1	person	1																				
NNP-mrs	1	1	person	1																				
NN-lawyer	1	1	person	1																				
NN-scientist	1	1	person	1																				
NNP-bill	1	1	person	1																				
NNP-vic	1	1	person	1																				
NNP-fiona	1	1	person	1																				
NN-waitstaff	1	1	person	1																				
NN-drip	1	1	person	1																				
NN-stoner	1	1	person	1																				
NN-host	1	1	person	1																				
NNS-plumbers	1	1	person	1																				
NN-cehf	1	1	person	1																				
NNP-ms.	1	1	person	1																				
NNS-proprietors	1	1	person	1																				
NNS-visitors	1	1	person	1																				
NNP-bmil	1	1	person	1																				
NN-traveler	1	1	person	1																				
NN-barber	1	1	person	1																				
NN-backup	1	1	person	1																				
NNP-brendan	1	1	person	1																				
NN-sit	1	1	person	1																				
NN-teenager	1	1	person	1																				
NNP-pomper	1	1	person	1																				
NNP-jim	1	1	person	1																				
NNP-destiny	1	1	person	1																				
NN-aunte	1	1	person	1																				
NNP-pa	1	1	person	1																				
NN-hostess	1	1	person	1																				
NNS-ppl	1	1	person	1																				
NNS-intruders	1	1	person	1																				
NNP-jean	1	1	person	1																				
NNP-josh	1	1	person	1																				
NNP-govind	1	1	person	1																				
NNP-guys	1	1	person	1																				
NNS-vegetarians	1	1	person	1																				
NNP-pie	1	1	person	1																				
NNP-debi	1	1	person	1																				
NNS-trimmers	1	1	person	1																				
NNS-regulars	1	1	person	1																				
NNS-f'ers	1	1	person	1																				
NN-osteos	1	1	person	1																				
NNP-gus	1	1	person	1																				
NNS-physiotherapists	1	1	person	1																				
NNP-bea	1	1	person	1																				
NN-valet	1	1	person	1																				
NN-salespeople	1	1	person	1																				
NN-advocate	1	1	person	1																				
NNS-orthodontics	1	1	person	1																				
NNS-maids	1	1	person	1																				
NNP-kathy	1	1	person	1																				
NNS-evictees	1	1	person	1																				
NNS-liars	1	1	person	1																				
NNS-comedians	1	1	person	1																				
NN-fiance	1	1	person	1																				
NNS-brokers	1	1	person	1																				
NN-sommelier	1	1	person	1																				
JJ-repeat	1	1	person	1																				
NNP-sophie	1	1	person	1																				
NNS-seamstresses	1	1	person	1																				
NNP-phillip	1	1	person	1																				
NNP-vera	1	1	person	1																				
NNP-greg	1	1	person	1																				
NNP-matt	1	1	person	1																				
NN-mom	1	1	person	1																				
NNS-drivers	1	1	person	1																				
JJ-supreme	1	1	person	1																				
NNP-sherri	1	1	person	1																				
NN-cop	1	1	person	1																				
NNS-specialists	1	1	person	1																				
NN-physician	1	1	person	1																				
NN-infant	1	1	person	1																				
NNP-kb	1	1	person	1																				
NNS-eaters	1	1	person	1																				
NNP-nina	1	1	person	1																				
NN-connoisseur	1	1	person	1																				
NNP-don	1	1	person	1																				
NNS-instructors	1	1	person	1																				
NNP-sue	1	1	person	1																				
NN-resident	1	1	person	1																				
NN-individual	1	1	person	1																				
NNPS-boyles	1	1	person	1																				
NN-genius	1	1	person	1																				
NNP-marlon	1	1	person	1																				
NNP-kevin	1	1	person	1																				
NN-coordinator	1	1	person	1																				
NNP-gretchen	1	1	person	1																				
NNP-kelly	1	1	person	1																				
NNS-witnesses	1	1	person	1																				
NNP-daniel	1	1	person	1																				
NN-human	1	1	person	1																				
NNS-thieves	1	1	person	1																				
NNP-absoul	1	1	person	1																				
NNP-vicky	1	1	person	1																				
NNS-nurses	1	1	person	1																				
NNS-kiddies	1	1	person	1																				
NNS-patrons	1	1	person	1																				
NNP-marisol	1	1	person	1																				
NN-longshoreman	1	1	person	1																				
NNS-innkeepers	1	1	person	1																				
NN-douchebag	1	1	person	1																				
NNP-rocky	1	1	person	1																				
NNS-crooks	1	1	person	1																				
NN-newborn	1	1	person	1																				
NNP-susanna	1	1	person	1																				
NNP-chris	1	1	person	1																				
NNP-craggy	1	1	person	1																				
NN-exterminator	1	1	person	1																				
NNS-coworkers	1	1	person	1																				
NNP-darla	1	1	person	1																				
NNP-rachel	1	1	person	1																				
NNS-hookers	1	1	person	1																				
NNS-waitresses	1	1	person	1																				
NNP-brett	1	1	person	1																				
NNS-burglars	1	1	person	1																				
NN-coach	1	1	person	1																				
NNP-encino	1	1	person	1																				
NN-soccer	1	1	person	1																				
NNS-youngsteers	1	1	person	1																				
NNP-bullwark	1	1	person	1																				
NNS-brides	1	1	person	1																				
NN-regular	1	1	person	1																				
NN-cleaning	1	1	person	1																				
NN-gentleman	1	1	person	1																				
NNP-ufc	1	1	person	1																				
NN-cashier	1	1	person	1																				
NNS-buyers	1	1	person	1																				
NN-hairstylist	1	1	person	1																				
NN-writer	1	1	person	1																				
NNP-samantha	1	1	person	1																				
NNP-seo	1	1	person	1																				
NNP-linda	1	1	person	1																				
NNS-mangers	1	1	person	1																				
NN-landscaper	1	1	person	1																				
NNP-danny	1	1	person	1																				
NN-yr	1	1	person	1																				
AFX-co	1	1	person	1																				
NNS-sheisters	1	1	person	1																				
NN-expert	1	1	person	1																				
NNP-julie	1	1	person	1																				
NNP-barb	1	1	person	1																				
NNP-sierra	1	1	person	1																				
NNP-anne	1	1	person	1																				
NNP-drs.	1	1	person	1																				
NN-driver	1	1	person	1																				
NNP-frank	1	1	person	1																				
NN-vendor	1	1	person	1																				
NNP-anthony	1	1	person	1																				
NNP-harlan	1	1	person	1																				
NNP-gustavo	1	1	person	1																				
NN-seamstress	1	1	person	1																				
NN-mechanics	1	1	person	1																				
NNP-scot	1	1	person	1																				
NN-superintendant	1	1	person	1																				
NN-seeker	1	1	person	1																				
NN-cpa	1	1	person	1																				
NNP-rushi	1	1	person	1																				
NN-father	1	1	person	1																				
NN-bodyworker	1	1	person	1																				
NN-operator	1	1	person	1																				
NN-princess	1	1	person	1																				
NN-toddler	1	1	person	1																				
NNP-ian	1	1	person	1																				
NN-supervisor	1	1	person	1																				
NNP-roger	1	1	person	1																				
NN-chambermaid	1	1	person	1																				
NN-nerd	1	1	person	1																				
NNS-bakers	1	1	person	1																				
NNS-chiros	1	1	person	1																				
NN-worker	1	1	person	1																				
NNS-travellers	1	1	person	1																				
VBG-smelling	1	1	perception	1																				
VBD-smelled	1	1	perception	1																				
VB-here	1	1	perception	1																				
VBZ-tastes	1	1	perception	1																				
VBP-watch	1	1	perception	1																				
VBG-piping	1	1	perception	1																				
VBZ-reeks	1	1	perception	1																				
NNP-stuff	1	1	other	1																				
NN-mildew	1	1	natural object	1																				
NNS-holes	1	1	natural object	1																				
NN-mould	1	1	natural object	1																				
NN-feather	1	1	natural object	1																				
NNP-columbia	1	1	natural object	1																				
NN-hailstorm	1	1	natural object	1																				
NNP-spring	1	1	natural object	1																				
NNS-bones	1	1	natural object	1																				
NN-nest	1	1	natural object	1																				
NN-mold	1	1	natural object	1																				
NN-nitrogen	1	1	natural object	1																				
NN-cold	1	1	natural object	1																				
NNS-snows	1	1	natural object	1																				
NNS-mountains	1	1	natural object	1																				
NN-crack	1	1	natural object	1																				
NN-scene	1	1	natural object	1																				
NN-power	1	1	natural object	1																				
NNS-fields	1	1	natural object	1																				
NN-hill	1	1	natural object	1																				
NN-appetite	1	1	motive	1																				
NN-responsibility	1	1	motive	1																				
NN-purpose	1	1	motive	1																				
VBG-unloading	1	1	motion	1																				
VB-arrive	1	1	motion	1																				
VBZ-brings	1	1	motion	1																				
VBZ-walks	1	1	motion	1																				
VBD-visted	1	1	motion	1																				
RB-off	1	1	motion	1																				
VBG-riding	1	1	motion	1																				
VB-wonder	1	1	motion	1																				
VBD-travelled	1	1	motion	1																				
VBZ-spills	1	1	motion	1																				
VBG-arriving	1	1	motion	1																				
VBD-traveled	1	1	motion	1																				
VBG-hiking	1	1	motion	1																				
VBP-pick	1	1	motion	1																				
VB-stroll	1	1	motion	1																				
VBG-drving	1	1	motion	1																				
VBN-paraded	1	1	motion	1																				
VBG-wondering	1	1	motion	1																				
VBD-stuck	1	1	motion	1																				
VBZ-flips	1	1	motion	1																				
VBP-bring	1	1	motion	1																				
VB-enter	1	1	motion	1																				
VB-travels	1	1	motion	1																				
VBD-attended	1	1	motion	1																				
VB-ship	1	1	motion	1																				
VBG-speeding	1	1	motion	1																				
VBG-relocating	1	1	motion	1																				
VBD-landed	1	1	motion	1																				
VBP-drop	1	1	motion	1																				
VBP-attend	1	1	motion	1																				
VBN-hauled	1	1	motion	1																				
VBD-shipped	1	1	motion	1																				
VB-mail	1	1	motion	1																				
VBN-arrived	1	1	motion	1																				
VBP-spin	1	1	motion	1																				
VBP-enter	1	1	motion	1																				
VBD-deliverd	1	1	motion	1																				
VBG-crossing	1	1	motion	1																				
VB-dump	1	1	motion	1																				
VB-rush	1	1	motion	1																				
VBG-falling	1	1	motion	1																				
VBP-travel	1	1	motion	1																				
VBD-popped	1	1	motion	1																				
VB-wander	1	1	motion	1																				
VBP-steep	1	1	motion	1																				
VB-travel	1	1	motion	1																				
VBD-grabbed	1	1	motion	1																				
VBP-separate	1	1	motion	1																				
VBP-flew	1	1	motion	1																				
VBN-stopped	1	1	motion	1																				
NN-boulevard	1	1	location	1																				
NNP-earthhhhhhh	1	1	location	1																				
NNP-paris	1	1	location	1																				
NNP-central	1	1	location	1																				
NN-rear	1	1	location	1																				
NNP-tucson	1	1	location	1																				
NNP-georgia	1	1	location	1																				
NNPS-eastgardens	1	1	location	1																				
NNP-logan	1	1	location	1																				
NNP-californian	1	1	location	1																				
NNP-15th	1	1	location	1																				
NN-countertop	1	1	location	1																				
NNP-michigan	1	1	location	1																				
NNP-phx	1	1	location	1																				
NNP-dupont	1	1	location	1																				
NN-seaview	1	1	location	1																				
NNP-tacoma	1	1	location	1																				
NNP-duluth	1	1	location	1																				
NNP-america	1	1	location	1																				
NNPS-camps	1	1	location	1																				
NNP-uw	1	1	location	1																				
NNP-scordia	1	1	location	1																				
NNP-houston	1	1	location	1																				
NNP-canyon	1	1	location	1																				
NNP-greensboro	1	1	location	1																				
NNP-lagrange	1	1	location	1																				
NNP-barling	1	1	location	1																				
NNP-s.	1	1	location	1																				
NNP-bethesda	1	1	location	1																				
NNP-mass	1	1	location	1																				
NNP-montgomery	1	1	location	1																				
NNP-noida	1	1	location	1																				
NNP-lawrence	1	1	location	1																				
NNP-chesapeake	1	1	location	1																				
NNP-europe	1	1	location	1																				
NNS-kennels	1	1	location	1																				
NNP-wenatchee	1	1	location	1																				
NNP-hh	1	1	location	1																				
NNP-winter	1	1	location	1																				
NN-lounge	1	1	location	1																				
NNP-stokes	1	1	location	1																				
NNP-chelan	1	1	location	1																				
NNP-long	1	1	location	1																				
NNP-dfw	1	1	location	1																				
NNP-carval	1	1	location	1																				
NNS-streets	1	1	location	1																				
NNP-keene	1	1	location	1																				
NNP-pennsylvania	1	1	location	1																				
JJ-east	1	1	location	1																				
NNP-suzanne	1	1	location	1																				
NNP-carytown	1	1	location	1																				
NNP-morse	1	1	location	1																				
NN-route	1	1	location	1																				
NNS-boarders	1	1	location	1																				
NN-lane	1	1	location	1																				
NNP-sand	1	1	location	1																				
NN-reigon	1	1	location	1																				
NNS-areas	1	1	location	1																				
NN-northwest	1	1	location	1																				
NN-hallway	1	1	location	1																				
NNS-homes	1	1	location	1																				
NN-exit	1	1	location	1																				
NNP-village	1	1	location	1																				
NNP-oxford	1	1	location	1																				
NNP-saginaw	1	1	location	1																				
NNP-gold	1	1	location	1																				
NNP-norman	1	1	location	1																				
NNP-ames	1	1	location	1																				
NNP-7th	1	1	location	1																				
NNP-oklahoma	1	1	location	1																				
NNP-cayuga	1	1	location	1																				
NNP-boothbay	1	1	location	1																				
NNP-rockland	1	1	location	1																				
NNP-greenfield	1	1	location	1																				
NNP-palatine	1	1	location	1																				
NNP-orlando	1	1	location	1																				
NNP-chamberlain	1	1	location	1																				
NNP-canal	1	1	location	1																				
NNP-center	1	1	location	1																				
NN-northeast	1	1	location	1																				
NNP-yarmouth	1	1	location	1																				
NNP-fernandina	1	1	location	1																				
NNP-alpharetta	1	1	location	1																				
NNP-edmonton	1	1	location	1																				
NNP-renton	1	1	location	1																				
NN-curb	1	1	location	1																				
NNP-stony	1	1	location	1																				
NN-field	1	1	location	1																				
NNP-wa	1	1	location	1																				
NN-calmness	1	1	location	1																				
NN-region	1	1	location	1																				
NN-clubhouse	1	1	location	1																				
NNP-gare	1	1	location	1																				
IN-off	1	1	location	1																				
NNP-bandera	1	1	location	1																				
NN-campsite	1	1	location	1																				
NN-stadium	1	1	location	1																				
NNP-21st	1	1	location	1																				
NNS-premises	1	1	location	1																				
NNP-geelong	1	1	location	1																				
NNP-river	1	1	location	1																				
NN-storefront	1	1	location	1																				
NNP-calgary	1	1	location	1																				
NN-brewery	1	1	location	1																				
NNP-mulberry	1	1	location	1																				
NNP-sf	1	1	location	1																				
NNP-short	1	1	location	1																				
NNP-minneapolis	1	1	location	1																				
NNP-solana	1	1	location	1																				
NNP-troy	1	1	location	1																				
NNP-yampa	1	1	location	1																				
NNP-gurgaon	1	1	location	1																				
NNP-military	1	1	location	1																				
NNP-pepco	1	1	location	1																				
NNP-uk	1	1	location	1																				
NNP-16th	1	1	location	1																				
NN-campus	1	1	location	1																				
NNP-forsyth	1	1	location	1																				
NNP-willis	1	1	location	1																				
NNP-asia	1	1	location	1																				
NNP-pottstown	1	1	location	1																				
NNP-morningside	1	1	location	1																				
NNP-rt	1	1	location	1																				
NN-entrance	1	1	location	1																				
NNP-ks	1	1	location	1																				
NNP-boston	1	1	location	1																				
NNP-meadowrun	1	1	location	1																				
NNP-kansas	1	1	location	1																				
NNP-mississippi	1	1	location	1																				
NN-inside	1	1	location	1																				
NN-hall	1	1	location	1																				
NNP-phuket	1	1	location	1																				
NNP-split	1	1	location	1																				
NN-bottom	1	1	location	1																				
IN-down	1	1	location	1																				
NNP-cn	1	1	location	1																				
NNP-federal	1	1	location	1																				
NNP-summit	1	1	location	1																				
NNP-downtown	1	1	location	1																				
NNP-centre	1	1	location	1																				
NNP-stevens	1	1	location	1																				
NN-blouvard	1	1	location	1																				
NNP-darlington	1	1	location	1																				
NNP-woodland	1	1	location	1																				
NNP-mclean	1	1	location	1																				
NNP-utc	1	1	location	1																				
NNP-clarkson	1	1	location	1																				
NN-valley	1	1	location	1																				
NNP-branford	1	1	location	1																				
NNP-temecula	1	1	location	1																				
NNPS-galleries	1	1	location	1																				
NNS-kitchens	1	1	location	1																				
NNP-nova	1	1	location	1																				
NNP-collingswood	1	1	location	1																				
NNP-memphis	1	1	location	1																				
NNP-florence	1	1	location	1																				
NNP-springfield	1	1	location	1																				
NN-southeast	1	1	location	1																				
NN-17th	1	1	location	1																				
JJ-south	1	1	location	1																				
NNP-wa.	1	1	location	1																				
NNP-chennai	1	1	location	1																				
NNP-friendly	1	1	location	1																				
NNP-14th	1	1	location	1																				
NNP-dandenong	1	1	location	1																				
NN-chair	1	1	location	1																				
NNP-sacre	1	1	location	1																				
NNP-i	1	1	location	1																				
NN-cape	1	1	location	1																				
NN-stop	1	1	location	1																				
NNP-chatham	1	1	location	1																				
NN-sub-division	1	1	location	1																				
NNP-road	1	1	location	1																				
NNP-holderness	1	1	location	1																				
NNP-california	1	1	location	1																				
NN-roadside	1	1	location	1																				
NNP-opera	1	1	location	1																				
NNP-east	1	1	location	1																				
NNS-palces	1	1	location	1																				
NNP-ball	1	1	group	1																				
NNP-honda	1	1	group	1																				
NNS-parishioners	1	1	group	1																				
NNP-trek	1	1	group	1																				
NNP-hair	1	1	group	1																				
NNP-hds	1	1	group	1																				
NNP-peachstate	1	1	group	1																				
JJR-better	1	1	group	1																				
NNP-bexar	1	1	group	1																				
NNP-little	1	1	group	1																				
NN-supermarket	1	1	group	1																				
NNS-tropics	1	1	group	1																				
NNP-roll	1	1	group	1																				
NNP-vintage	1	1	group	1																				
NNS-groups	1	1	group	1																				
NNP-novotel	1	1	group	1																				
JJ-prominent	1	1	group	1																				
NNP-hobby	1	1	group	1																				
NNP-battery	1	1	group	1																				
NNP-scharffen	1	1	group	1																				
NNS-hospitals	1	1	group	1																				
VBG-raging	1	1	group	1																				
NNP-steele	1	1	group	1																				
NNP-bramen	1	1	group	1																				
NN-preschool	1	1	group	1																				
NNP-will	1	1	group	1																				
NNP-qwest	1	1	group	1																				
NNS-shelters	1	1	group	1																				
NNP-caffe	1	1	group	1																				
NNP-outback	1	1	group	1																				
NNPS-pets	1	1	group	1																				
NN-sstaff	1	1	group	1																				
NNP-edmark	1	1	group	1																				
NNP-canadian	1	1	group	1																				
NNP-taco	1	1	group	1																				
NNP-kal	1	1	group	1																				
NNP-eulogic	1	1	group	1																				
NNP-chili	1	1	group	1																				
NNP-clh	1	1	group	1																				
NNP-howard	1	1	group	1																				
NNS-institutions	1	1	group	1																				
NNS-teams	1	1	group	1																				
NN-cigar	1	1	group	1																				
NNP-bc	1	1	group	1																				
NNP-landscape	1	1	group	1																				
NNP-student	1	1	group	1																				
NNS-farms	1	1	group	1																				
NNP-fancy	1	1	group	1																				
NNP-mfj	1	1	group	1																				
NNP-modell	1	1	group	1																				
NNP-prudential	1	1	group	1																				
NN-breeder	1	1	group	1																				
NNP-ohm	1	1	group	1																				
NNP-interior	1	1	group	1																				
NN-jail	1	1	group	1																				
NNP-avvo	1	1	group	1																				
NN-workshop	1	1	group	1																				
NNP-tintman	1	1	group	1																				
NNP-tcho	1	1	group	1																				
NNP-subway	1	1	group	1																				
NN-agency	1	1	group	1																				
NNS-designs	1	1	group	1																				
NNP-buddakan	1	1	group	1																				
NNS-pubs	1	1	group	1																				
NNP-fuji	1	1	group	1																				
NNP-bloom	1	1	group	1																				
NNP-kingston	1	1	group	1																				
NN-hangout	1	1	group	1																				
NNP-nidd	1	1	group	1																				
NNP-raina	1	1	group	1																				
NNP-2scompany	1	1	group	1																				
NN-amusement	1	1	group	1																				
NNP-pizza	1	1	group	1																				
NNP-vassar	1	1	group	1																				
NN-population	1	1	group	1																				
CD-360	1	1	group	1																				
NNP-zion	1	1	group	1																				
NNP-jazz	1	1	group	1																				
NNP-vnhh	1	1	group	1																				
NNS-resorts	1	1	group	1																				
NNP-famoso	1	1	group	1																				
NNP-quiktrip	1	1	group	1																				
NNP-geeksquad	1	1	group	1																				
NNP-mackinaw	1	1	group	1																				
NN-yuppy	1	1	group	1																				
NN-operation	1	1	group	1																				
NNP-kelvin	1	1	group	1																				
JJ-belgian	1	1	group	1																				
NNP-wal	1	1	group	1																				
NNP-bayside	1	1	group	1																				
NNP-yards	1	1	group	1																				
NNS-dealerships	1	1	group	1																				
NN-farm	1	1	group	1																				
NNP-hellada	1	1	group	1																				
